itemid,name
51098,"PROT. ELECTROPHORESIS, URINE (URINE, CHEMISTRY)"
51099,"PROTEIN/CREATININE RATIO (URINE, CHEMISTRY)"
51100,"SODIUM, URINE (URINE, CHEMISTRY)"
51101,"TOTAL COLLECTION TIME (URINE, CHEMISTRY)"
51102,"TOTAL PROTEIN, URINE (URINE, CHEMISTRY)"
51103,"UHOLD (URINE, CHEMISTRY)"
51104,"UREA NITROGEN, URINE (URINE, CHEMISTRY)"
51105,"URIC ACID, URINE (URINE, CHEMISTRY)"
51106,"URINE CREATININE (URINE, CHEMISTRY)"
51107,"URINE TUBE, HELD (URINE, CHEMISTRY)"
51108,"URINE VOLUME (URINE, CHEMISTRY)"
51109,"URINE VOLUME, TOTAL (URINE, CHEMISTRY)"
51110,"ATYPICAL LYMPHOCYTES (ASCITES, HEMATOLOGY)"
51111,"BANDS (ASCITES, HEMATOLOGY)"
51112,"BASOPHILS (ASCITES, HEMATOLOGY)"
51113,"BLASTS (ASCITES, HEMATOLOGY)"
51114,"EOSINOPHILS (ASCITES, HEMATOLOGY)"
51115,"HEMATOCRIT, ASCITES (ASCITES, HEMATOLOGY)"
51116,"LYMPHOCYTES (ASCITES, HEMATOLOGY)"
51117,"MACROPHAGE (ASCITES, HEMATOLOGY)"
51118,"MESOTHELIAL CELL (ASCITES, HEMATOLOGY)"
51119,"METAMYELOCYTES (ASCITES, HEMATOLOGY)"
51120,"MONOCYTES (ASCITES, HEMATOLOGY)"
51121,"MYELOCYTES (ASCITES, HEMATOLOGY)"
51122,"NUCLEATED RBC (ASCITES, HEMATOLOGY)"
51123,"OTHER (ASCITES, HEMATOLOGY)"
51124,"PLASMA (ASCITES, HEMATOLOGY)"
51125,"POLYS (ASCITES, HEMATOLOGY)"
51126,"PROMYELOCYTES (ASCITES, HEMATOLOGY)"
51127,"RBC, ASCITES (ASCITES, HEMATOLOGY)"
51128,"WBC, ASCITES (ASCITES, HEMATOLOGY)"
51129,"YOUNG (ASCITES, HEMATOLOGY)"
51130,"ABSOLUTE CD3 COUNT (BLOOD, HEMATOLOGY)"
51131,"ABSOLUTE CD4 COUNT (BLOOD, HEMATOLOGY)"
51132,"ABSOLUTE CD8 COUNT (BLOOD, HEMATOLOGY)"
51133,"ABSOLUTE LYMPHOCYTE COUNT (BLOOD, HEMATOLOGY)"
51134,"ACANTHOCYTES (BLOOD, HEMATOLOGY)"
51135,"ADP (BLOOD, HEMATOLOGY)"
51136,"ALPHA ANTIPLASMIN (BLOOD, HEMATOLOGY)"
51137,"ANISOCYTOSIS (BLOOD, HEMATOLOGY)"
51138,"ANTICARDIOLIPIN ANTIBODY IGG (BLOOD, HEMATOLOGY)"
51139,"ANTICARDIOLIPIN ANTIBODY IGM (BLOOD, HEMATOLOGY)"
51140,"ANTITHROMBIN (BLOOD, HEMATOLOGY)"
51141,"APT TEST (BLOOD, HEMATOLOGY)"
51142,"ARACHADONIC ACID (BLOOD, HEMATOLOGY)"
51143,"ATYPICAL LYMPHOCYTES (BLOOD, HEMATOLOGY)"
51144,"BANDS (BLOOD, HEMATOLOGY)"
51145,"BASOPHILIC STIPPLING (BLOOD, HEMATOLOGY)"
51146,"BASOPHILS (BLOOD, HEMATOLOGY)"
51147,"BITE CELLS (BLOOD, HEMATOLOGY)"
51148,"BLASTS (BLOOD, HEMATOLOGY)"
51149,"BLEEDING TIME (BLOOD, HEMATOLOGY)"
51150,"BLOOD PARASITE SMEAR (BLOOD, HEMATOLOGY)"
51151,"BURR CELLS (BLOOD, HEMATOLOGY)"
51152,"CD10 (BLOOD, HEMATOLOGY)"
51153,"CD103 (BLOOD, HEMATOLOGY)"
51154,"CD117 (BLOOD, HEMATOLOGY)"
51155,"CD11C (BLOOD, HEMATOLOGY)"
51156,"CD13 (BLOOD, HEMATOLOGY)"
51157,"CD138 (BLOOD, HEMATOLOGY)"
51158,"CD14 (BLOOD, HEMATOLOGY)"
51159,"CD15 (BLOOD, HEMATOLOGY)"
51160,"CD15/56 (BLOOD, HEMATOLOGY)"
51161,"CD16 (BLOOD, HEMATOLOGY)"
51162,"CD16/56 ABSOLUTE COUNT (BLOOD, HEMATOLOGY)"
51163,"CD16/56% (BLOOD, HEMATOLOGY)"
51164,"CD19 (BLOOD, HEMATOLOGY)"
51165,"CD19 % (BLOOD, HEMATOLOGY)"
51166,"CD19 ABSOLUTE COUNT (BLOOD, HEMATOLOGY)"
51167,"CD2 (BLOOD, HEMATOLOGY)"
51168,"CD20 (BLOOD, HEMATOLOGY)"
51169,"CD20 % (BLOOD, HEMATOLOGY)"
51170,"CD20 ABSOLUTE COUNT (BLOOD, HEMATOLOGY)"
51171,"CD22 (BLOOD, HEMATOLOGY)"
51172,"CD23 (BLOOD, HEMATOLOGY)"
51173,"CD25 (BLOOD, HEMATOLOGY)"
51174,"CD3 % (BLOOD, HEMATOLOGY)"
51175,"CD3 ABSOLUTE COUNT (BLOOD, HEMATOLOGY)"
51176,"CD3 CELLS, PERCENT (BLOOD, HEMATOLOGY)"
51177,"CD33 (BLOOD, HEMATOLOGY)"
51178,"CD34 (BLOOD, HEMATOLOGY)"
51179,"CD38 (BLOOD, HEMATOLOGY)"
51180,"CD4 CELLS, PERCENT (BLOOD, HEMATOLOGY)"
51181,"CD4/CD8 RATIO (BLOOD, HEMATOLOGY)"
51182,"CD41 (BLOOD, HEMATOLOGY)"
51183,"CD45 (BLOOD, HEMATOLOGY)"
51184,"CD5 (BLOOD, HEMATOLOGY)"
51185,"CD5 % (BLOOD, HEMATOLOGY)"
51186,"CD5 ABSOLUTE COUNT (BLOOD, HEMATOLOGY)"
51187,"CD55 (BLOOD, HEMATOLOGY)"
51188,"CD56 (BLOOD, HEMATOLOGY)"
51189,"CD57 (BLOOD, HEMATOLOGY)"
51190,"CD59 (BLOOD, HEMATOLOGY)"
51191,"CD64 (BLOOD, HEMATOLOGY)"
51192,"CD7 (BLOOD, HEMATOLOGY)"
51193,"CD71 (BLOOD, HEMATOLOGY)"
51194,"CD8 CELLS, PERCENT (BLOOD, HEMATOLOGY)"
51195,"COLLAGEN (BLOOD, HEMATOLOGY)"
51196,"D-DIMER (BLOOD, HEMATOLOGY)"
51197,"ELLIPTOCYTES (BLOOD, HEMATOLOGY)"
51198,"ENVELOPE CELLS (BLOOD, HEMATOLOGY)"
51199,"EOSINOPHIL COUNT (BLOOD, HEMATOLOGY)"
51200,"EOSINOPHILS (BLOOD, HEMATOLOGY)"
51201,"EPINEPHERINE (BLOOD, HEMATOLOGY)"
51202,"FACTOR II (BLOOD, HEMATOLOGY)"
51203,"FACTOR IX (BLOOD, HEMATOLOGY)"
51204,"FACTOR V (BLOOD, HEMATOLOGY)"
51205,"FACTOR VII (BLOOD, HEMATOLOGY)"
51206,"FACTOR VIII (BLOOD, HEMATOLOGY)"
51207,"FACTOR VIII INHIBITOR (BLOOD, HEMATOLOGY)"
51208,"FACTOR X (BLOOD, HEMATOLOGY)"
51209,"FACTOR XI (BLOOD, HEMATOLOGY)"
51210,"FACTOR XII (BLOOD, HEMATOLOGY)"
51211,"FACTOR XIII (BLOOD, HEMATOLOGY)"
51212,"FETAL HEMOGLOBIN (BLOOD, HEMATOLOGY)"
51213,"FIBRIN DEGRADATION PRODUCTS (BLOOD, HEMATOLOGY)"
51214,"FIBRINOGEN, FUNCTIONAL (BLOOD, HEMATOLOGY)"
51215,"FMC-7 (BLOOD, HEMATOLOGY)"
51216,"FRAGMENTED CELLS (BLOOD, HEMATOLOGY)"
51217,"GLYCO A (BLOOD, HEMATOLOGY)"
51218,"GRANULOCYTE COUNT (BLOOD, HEMATOLOGY)"
51219,"H/O SMEAR (BLOOD, HEMATOLOGY)"
51220,"HEINZ BODY PREP (BLOOD, HEMATOLOGY)"
51221,"HEMATOCRIT (BLOOD, HEMATOLOGY)"
51222,"HEMOGLOBIN (BLOOD, HEMATOLOGY)"
51223,"HEMOGLOBIN A2 (BLOOD, HEMATOLOGY)"
51224,"HEMOGLOBIN C (BLOOD, HEMATOLOGY)"
51225,"HEMOGLOBIN F (BLOOD, HEMATOLOGY)"
51226,"HEMOGLOBLIN A (BLOOD, HEMATOLOGY)"
51227,"HEMOGLOBLIN S (BLOOD, HEMATOLOGY)"
51228,"HEPARIN (BLOOD, HEMATOLOGY)"
51229,"HEPARIN, LMW (BLOOD, HEMATOLOGY)"
51230,"HLA-DR (BLOOD, HEMATOLOGY)"
51231,"HOWELL-JOLLY BODIES (BLOOD, HEMATOLOGY)"
51232,"HYPERSEGMENTED NEUTROPHILS (BLOOD, HEMATOLOGY)"
51233,"HYPOCHROMIA (BLOOD, HEMATOLOGY)"
51234,"IMMUNOPHENOTYPING (BLOOD, HEMATOLOGY)"
51235,"INHIBITOR SCREEN (BLOOD, HEMATOLOGY)"
51236,"INPATIENT HEMATOLOGY/ONCOLOGY SMEAR (BLOOD, HEMATOLOGY)"
51237,"INR(PT) (BLOOD, HEMATOLOGY)"
51238,"KAPPA (BLOOD, HEMATOLOGY)"
51239,"LAMBDA (BLOOD, HEMATOLOGY)"
51240,"LARGE PLATELETS (BLOOD, HEMATOLOGY)"
51241,"LEUKOCYTE ALKALINE PHOSPHATASE (BLOOD, HEMATOLOGY)"
51242,"LUC (BLOOD, HEMATOLOGY)"
51243,"LUPUS ANTICOAGULANT (BLOOD, HEMATOLOGY)"
51244,"LYMPHOCYTES (BLOOD, HEMATOLOGY)"
51245,"LYMPHOCYTES, PERCENT (BLOOD, HEMATOLOGY)"
51246,"MACROCYTES (BLOOD, HEMATOLOGY)"
51247,"MACROOVALOCYTES (BLOOD, HEMATOLOGY)"
51248,"MCH (BLOOD, HEMATOLOGY)"
51249,"MCHC (BLOOD, HEMATOLOGY)"
51250,"MCV (BLOOD, HEMATOLOGY)"
51251,"METAMYELOCYTES (BLOOD, HEMATOLOGY)"
51252,"MICROCYTES (BLOOD, HEMATOLOGY)"
51253,"MONOCYTE COUNT (BLOOD, HEMATOLOGY)"
51254,"MONOCYTES (BLOOD, HEMATOLOGY)"
51255,"MYELOCYTES (BLOOD, HEMATOLOGY)"
51256,"NEUTROPHILS (BLOOD, HEMATOLOGY)"
51257,"NUCLEATED RED CELLS (BLOOD, HEMATOLOGY)"
51258,"OSMOTIC FRAGILITY (BLOOD, HEMATOLOGY)"
51259,"OTHER CELLS (BLOOD, HEMATOLOGY)"
51260,"OVALOCYTES (BLOOD, HEMATOLOGY)"
51261,"PAPPENHEIMER BODIES (BLOOD, HEMATOLOGY)"
51262,"PENCIL CELLS (BLOOD, HEMATOLOGY)"
51263,"PLASMA CELLS (BLOOD, HEMATOLOGY)"
51264,"PLATELET CLUMPS (BLOOD, HEMATOLOGY)"
51265,"PLATELET COUNT (BLOOD, HEMATOLOGY)"
51266,"PLATELET SMEAR (BLOOD, HEMATOLOGY)"
51267,"POIKILOCYTOSIS (BLOOD, HEMATOLOGY)"
51268,"POLYCHROMASIA (BLOOD, HEMATOLOGY)"
51269,"PROMYELOCYTES (BLOOD, HEMATOLOGY)"
51270,"PROTEIN C, ANTIGEN (BLOOD, HEMATOLOGY)"
51271,"PROTEIN C, FUNCTIONAL (BLOOD, HEMATOLOGY)"
51272,"PROTEIN S, ANTIGEN (BLOOD, HEMATOLOGY)"
51273,"PROTEIN S, FUNCTIONAL (BLOOD, HEMATOLOGY)"
51274,"PT (BLOOD, HEMATOLOGY)"
51275,"PTT (BLOOD, HEMATOLOGY)"
51276,"QUANTITATIVE G6PD (BLOOD, HEMATOLOGY)"
51277,"RDW (BLOOD, HEMATOLOGY)"
51278,"RED BLOOD CELL FRAGMENTS (BLOOD, HEMATOLOGY)"
51279,"RED BLOOD CELLS (BLOOD, HEMATOLOGY)"
51280,"REPTILASE TIME (BLOOD, HEMATOLOGY)"
51281,"REPTILASE TIME CONTROL (BLOOD, HEMATOLOGY)"
51282,"RETICULOCYTE COUNT, ABSOLUTE (BLOOD, HEMATOLOGY)"
51283,"RETICULOCYTE COUNT, AUTOMATED (BLOOD, HEMATOLOGY)"
51284,"RETICULOCYTE COUNT, MANUAL (BLOOD, HEMATOLOGY)"
51285,"RETICULOCYTE, CELLULAR HEMOGLOBIN (BLOOD, HEMATOLOGY)"
51286,"RISTOCETIN (BLOOD, HEMATOLOGY)"
51287,"SCHISTOCYTES (BLOOD, HEMATOLOGY)"
51288,"SEDIMENTATION RATE (BLOOD, HEMATOLOGY)"
51289,"SERUM VISCOSITY (BLOOD, HEMATOLOGY)"
51290,"SICKLE CELL PREPARATION (BLOOD, HEMATOLOGY)"
51291,"SICKLE CELLS (BLOOD, HEMATOLOGY)"
51292,"SPHEROCYTES (BLOOD, HEMATOLOGY)"
51293,"SUGAR WATER TEST (BLOOD, HEMATOLOGY)"
51294,"TARGET CELLS (BLOOD, HEMATOLOGY)"
51295,"TDT (BLOOD, HEMATOLOGY)"
51296,"TEARDROP CELLS (BLOOD, HEMATOLOGY)"
51297,"THROMBIN (BLOOD, HEMATOLOGY)"
51298,"VON WILLEBRAND FACTOR ACTIVITY (BLOOD, HEMATOLOGY)"
51299,"VON WILLEBRAND FACTOR ANTIGEN (BLOOD, HEMATOLOGY)"
51300,"WBC COUNT (BLOOD, HEMATOLOGY)"
51301,"WHITE BLOOD CELLS (BLOOD, HEMATOLOGY)"
51302,"YOUNG CELLS (BLOOD, HEMATOLOGY)"
51303,"CD10 (BONE MARROW, HEMATOLOGY)"
51304,"CD103 (BONE MARROW, HEMATOLOGY)"
51305,"CD117 (BONE MARROW, HEMATOLOGY)"
51306,"CD11C (BONE MARROW, HEMATOLOGY)"
51307,"CD13 (BONE MARROW, HEMATOLOGY)"
51308,"CD138 (BONE MARROW, HEMATOLOGY)"
51309,"CD14 (BONE MARROW, HEMATOLOGY)"
51310,"CD15 (BONE MARROW, HEMATOLOGY)"
51311,"CD16 (BONE MARROW, HEMATOLOGY)"
51312,"CD16/56 (BONE MARROW, HEMATOLOGY)"
51313,"CD19 (BONE MARROW, HEMATOLOGY)"
51314,"CD2 (BONE MARROW, HEMATOLOGY)"
51315,"CD20 (BONE MARROW, HEMATOLOGY)"
51316,"CD22 (BONE MARROW, HEMATOLOGY)"
51317,"CD23 (BONE MARROW, HEMATOLOGY)"
51318,"CD25 (BONE MARROW, HEMATOLOGY)"
51319,"CD3 (BONE MARROW, HEMATOLOGY)"
51320,"CD33 (BONE MARROW, HEMATOLOGY)"
51321,"CD34 (BONE MARROW, HEMATOLOGY)"
51322,"CD38 (BONE MARROW, HEMATOLOGY)"
51323,"CD4 (BONE MARROW, HEMATOLOGY)"
51324,"CD41 (BONE MARROW, HEMATOLOGY)"
51325,"CD45 (BONE MARROW, HEMATOLOGY)"
51326,"CD5 (BONE MARROW, HEMATOLOGY)"
51327,"CD55 (BONE MARROW, HEMATOLOGY)"
51328,"CD56 (BONE MARROW, HEMATOLOGY)"
51329,"CD57 (BONE MARROW, HEMATOLOGY)"
51330,"CD59 (BONE MARROW, HEMATOLOGY)"
51331,"CD64 (BONE MARROW, HEMATOLOGY)"
51332,"CD7 (BONE MARROW, HEMATOLOGY)"
51333,"CD71 (BONE MARROW, HEMATOLOGY)"
51334,"CD8 (BONE MARROW, HEMATOLOGY)"
51335,"FMC-7 (BONE MARROW, HEMATOLOGY)"
51336,"GLYCO A (BONE MARROW, HEMATOLOGY)"
51337,"HLA-DR (BONE MARROW, HEMATOLOGY)"
51338,"IMMUNOPHENOTYPING (BONE MARROW, HEMATOLOGY)"
51339,"IRON STAIN (BONE MARROW, HEMATOLOGY)"
51340,"KAPPA (BONE MARROW, HEMATOLOGY)"
51341,"LAMBDA (BONE MARROW, HEMATOLOGY)"
51342,"WRIGHT GIEMSA (BONE MARROW, HEMATOLOGY)"
51343,"ATYPICAL LYMPHOCYTES (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51344,"BANDS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51345,"BASOPHILS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51346,"BLASTS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51347,"EOSINOPHILS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51348,"HEMATOCRIT, CSF (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51349,"HYPERSEGMENTED NEUTROPHILS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51350,"IMMUNOPHENOTYPING (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51351,"LYMPHS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51352,"MACROPHAGE (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51353,"MESOTHELIAL CELLS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51354,"METAMYELOCYTES (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51355,"MONOCYTES (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51356,"MYELOCYTES (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51357,"NRBC (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51358,"OTHER (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51359,"PLASMA (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51360,"POLYS (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51361,"PROMYELOCYTES (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51362,"RBC, CSF (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51363,"WBC, CSF (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51364,"YOUNG (CEREBROSPINAL FLUID (CSF), HEMATOLOGY)"
51365,"ATYPICAL LYMPHOCYTES (JOINT FLUID, HEMATOLOGY)"
51366,"BANDS (JOINT FLUID, HEMATOLOGY)"
51367,"BASOPHILS (JOINT FLUID, HEMATOLOGY)"
51368,"EOSINOPHILS (JOINT FLUID, HEMATOLOGY)"
51369,"HEMATOCRIT, JOINT FLUID (JOINT FLUID, HEMATOLOGY)"
51370,"JOINT CRYSTALS, BIREFRINGENCE (JOINT FLUID, HEMATOLOGY)"
51371,"JOINT CRYSTALS, COMMENT (JOINT FLUID, HEMATOLOGY)"
51372,"JOINT CRYSTALS, LOCATION (JOINT FLUID, HEMATOLOGY)"
51373,"JOINT CRYSTALS, NUMBER (JOINT FLUID, HEMATOLOGY)"
51374,"JOINT CRYSTALS, SHAPE (JOINT FLUID, HEMATOLOGY)"
51375,"LYMPHOCYTES (JOINT FLUID, HEMATOLOGY)"
51376,"MACROPHAGE (JOINT FLUID, HEMATOLOGY)"
51377,"MESOTHELIAL CELLS (JOINT FLUID, HEMATOLOGY)"
51378,"METAMYELOCYTES (JOINT FLUID, HEMATOLOGY)"
51379,"MONOCYTES (JOINT FLUID, HEMATOLOGY)"
51380,"NRBC (JOINT FLUID, HEMATOLOGY)"
51381,"OTHER (JOINT FLUID, HEMATOLOGY)"
51382,"POLYS (JOINT FLUID, HEMATOLOGY)"
51383,"RBC, JOINT FLUID (JOINT FLUID, HEMATOLOGY)"
51384,"WBC, JOINT FLUID (JOINT FLUID, HEMATOLOGY)"
51385,"ATYPICAL LYMPHOCYTES (OTHER BODY FLUID, HEMATOLOGY)"
51386,"BANDS (OTHER BODY FLUID, HEMATOLOGY)"
51387,"BASOPHILS (OTHER BODY FLUID, HEMATOLOGY)"
51388,"CD10 (OTHER BODY FLUID, HEMATOLOGY)"
51389,"CD103 (OTHER BODY FLUID, HEMATOLOGY)"
51390,"CD117 (OTHER BODY FLUID, HEMATOLOGY)"
51391,"CD11C (OTHER BODY FLUID, HEMATOLOGY)"
51392,"CD13 (OTHER BODY FLUID, HEMATOLOGY)"
51393,"CD138 (OTHER BODY FLUID, HEMATOLOGY)"
51394,"CD14 (OTHER BODY FLUID, HEMATOLOGY)"
51395,"CD15 (OTHER BODY FLUID, HEMATOLOGY)"
51396,"CD16 (OTHER BODY FLUID, HEMATOLOGY)"
51397,"CD16/56 (OTHER BODY FLUID, HEMATOLOGY)"
51398,"CD19 (OTHER BODY FLUID, HEMATOLOGY)"
51399,"CD2 (OTHER BODY FLUID, HEMATOLOGY)"
51540,"PROBLEM SPECIMEN (BLOOD, CHEMISTRY)"
51541,"PROBLEM SPECIMEN (BLOOD, HEMATOLOGY)"
51542,"PROBLEM SPECIMEN (URINE, HEMATOLOGY)"
51543,"VOIDED SPECIMEN (BLOOD, CHEMISTRY)"
51544,"VOIDED SPECIMEN (OTHER BODY FLUID, BLOOD GAS)"
51545,"VOIDED SPECIMEN (BLOOD, BLOOD GAS)"
51546,"VOIDED SPECIMEN (CSF, CHEMISTRY)"
51547,"VOIDED SPECIMEN (OTHER BODY FLUID, CHEMISTRY)"
51548,"VOIDED SPECIMEN (URINE, HEMATOLOGY)"
51549,"VOIDED SPECIMEN (ASCITES, CHEMISTRY)"
51550,"VOIDED SPECIMEN (BLOOD, HEMATOLOGY)"
51551,"VOIDED SPECIMEN (OTHER BODY FLUID, HEMATOLOGY)"
51552,"VOIDED SPECIMEN (STOOL, CHEMISTRY)"
51553,"VOIDED SPECIMEN (URINE, CHEMISTRY)"
51554,"VOIDED SPECIMEN (JOINT FLUID, HEMATOLOGY)"
51555,"SURFACTANT ALBUMIN RATIO (OTHER BODY FLUID, CHEMISTRY)"
51400,"CD20 (OTHER BODY FLUID, HEMATOLOGY)"
51401,"CD22 (OTHER BODY FLUID, HEMATOLOGY)"
51402,"CD23 (OTHER BODY FLUID, HEMATOLOGY)"
51403,"CD25 (OTHER BODY FLUID, HEMATOLOGY)"
51404,"CD3 (OTHER BODY FLUID, HEMATOLOGY)"
51405,"CD33 (OTHER BODY FLUID, HEMATOLOGY)"
51406,"CD34 (OTHER BODY FLUID, HEMATOLOGY)"
51407,"CD38 (OTHER BODY FLUID, HEMATOLOGY)"
51408,"CD4 (OTHER BODY FLUID, HEMATOLOGY)"
51409,"CD4/CD8 RATIO (OTHER BODY FLUID, HEMATOLOGY)"
51410,"CD41 (OTHER BODY FLUID, HEMATOLOGY)"
51411,"CD45 (OTHER BODY FLUID, HEMATOLOGY)"
51412,"CD5 (OTHER BODY FLUID, HEMATOLOGY)"
51413,"CD56 (OTHER BODY FLUID, HEMATOLOGY)"
51414,"CD57 (OTHER BODY FLUID, HEMATOLOGY)"
51415,"CD64 (OTHER BODY FLUID, HEMATOLOGY)"
51416,"CD7 (OTHER BODY FLUID, HEMATOLOGY)"
51417,"CD71 (OTHER BODY FLUID, HEMATOLOGY)"
51418,"CD8 (OTHER BODY FLUID, HEMATOLOGY)"
51419,"EOSINOPHILS (OTHER BODY FLUID, HEMATOLOGY)"
51420,"FMC-7 (OTHER BODY FLUID, HEMATOLOGY)"
51421,"GLYCO A (OTHER BODY FLUID, HEMATOLOGY)"
51422,"HEMATOCRIT, OTHER FLUID (OTHER BODY FLUID, HEMATOLOGY)"
51423,"HLA-DR (OTHER BODY FLUID, HEMATOLOGY)"
51424,"IMMUNOPHENOTYPING (OTHER BODY FLUID, HEMATOLOGY)"
51425,"KAPPA (OTHER BODY FLUID, HEMATOLOGY)"
51426,"LAMBDA (OTHER BODY FLUID, HEMATOLOGY)"
51427,"LYMPHOCYTES (OTHER BODY FLUID, HEMATOLOGY)"
51428,"MACROPHAGE (OTHER BODY FLUID, HEMATOLOGY)"
51429,"MESOTHELIAL CELLS (OTHER BODY FLUID, HEMATOLOGY)"
51430,"METAMYELOCYTES (OTHER BODY FLUID, HEMATOLOGY)"
51431,"MONOS (OTHER BODY FLUID, HEMATOLOGY)"
51432,"MYELOCYTES (OTHER BODY FLUID, HEMATOLOGY)"
51433,"NRBC (OTHER BODY FLUID, HEMATOLOGY)"
51434,"OTHER CELL (OTHER BODY FLUID, HEMATOLOGY)"
51435,"PLASMA (OTHER BODY FLUID, HEMATOLOGY)"
51436,"POLYS (OTHER BODY FLUID, HEMATOLOGY)"
51437,"PROMYELOCYTES (OTHER BODY FLUID, HEMATOLOGY)"
51438,"RBC, OTHER FLUID (OTHER BODY FLUID, HEMATOLOGY)"
51439,"WBC, OTHER FLUID (OTHER BODY FLUID, HEMATOLOGY)"
51440,"ATYPICAL LYMPHOCYTES (PLEURAL, HEMATOLOGY)"
51441,"BANDS (PLEURAL, HEMATOLOGY)"
51442,"BASOPHILS (PLEURAL, HEMATOLOGY)"
51443,"BLASTS (PLEURAL, HEMATOLOGY)"
51444,"EOSINOPHILS (PLEURAL, HEMATOLOGY)"
51445,"HEMATOCRIT, PLEURAL (PLEURAL, HEMATOLOGY)"
51446,"LYMPHOCYTES (PLEURAL, HEMATOLOGY)"
51447,"MACROPHAGES (PLEURAL, HEMATOLOGY)"
51448,"MESOTHELIAL CELLS (PLEURAL, HEMATOLOGY)"
51449,"METAMYELOCYTES (PLEURAL, HEMATOLOGY)"
51450,"MONOS (PLEURAL, HEMATOLOGY)"
51451,"MYELOCYTES (PLEURAL, HEMATOLOGY)"
51452,"NRBC (PLEURAL, HEMATOLOGY)"
51453,"OTHER (PLEURAL, HEMATOLOGY)"
51454,"PLASMA CELLS (PLEURAL, HEMATOLOGY)"
51455,"POLYS (PLEURAL, HEMATOLOGY)"
51456,"PROMYELOCYTES (PLEURAL, HEMATOLOGY)"
51457,"RBC, PLEURAL (PLEURAL, HEMATOLOGY)"
50800,"SPECIMEN TYPE (BLOOD, BLOOD GAS)"
50801,"ALVEOLAR-ARTERIAL GRADIENT (BLOOD, BLOOD GAS)"
